Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Parent ID	Side	Num Detections	Area µm^2	Perimeter µm
1.czi	870eee55-cd62-4b28-93f5-9c20b2422734	Annotation	HY	Right: HY	Root object (Image)	Geometry	1614.3	1742.1	1097	1129	0	6	869869.6	5953
1.czi	a713fe3f-1b25-4f09-961a-420c805dd019	Annotation	CNU	Right: CNU	Root object (Image)	Geometry	3113.3	2331.1	623	567	0	290	9999899.7	19678.4
1.czi	ab3809fb-dfad-47eb-803e-f8fcaf470f11	Annotation	CTX	Right: CTX	Root object (Image)	Geometry	4687.8	3579.4	688	567	0	564	9660112.9	18414.9
1.czi	7f803582-6761-498e-bb5b-63b8f42c686f	Annotation	HPF	Right: HPF	Root object (Image)	Polygon	2624.1	4821	1089	695	0	0	26935.8	663.12
1.czi	39979ad2-0d4d-4a1d-99a0-ef32832cd6e1	Annotation	fiber tracts	Right: fiber tracts	Root object (Image)	Geometry	3264.3	3368.6	1009	997	0	16	1172420.4	15541.5
2.czi	47359aaa-4dbb-4d25-b15d-8b2a5ec63409	Annotation	CNU	Right: CNU	Root object (Image)	Geometry	2873.6	2877.8	623	567	0	246	10891987.5	19980.3
2.czi	f2e978df-d17c-4a9f-80aa-f9ad90cdd65a	Annotation	CTX	Right: CTX	Root object (Image)	Geometry	4304.7	4558.6	688	567	0	669	10494377.4	18748.4
2.czi	98f3bb63-4c8a-43c3-a225-b65b436d5890	Annotation	HY	Right: HY	Root object (Image)	Geometry	1599.1	1819.6	1097	1129	0	0	107701.3	3232.2
2.czi	3321d042-bd89-4f67-9fd2-16e3cdc7b111	Annotation	HPF	Right: HPF	Root object (Image)	Polygon	1862.1	5292.2	1089	695	0	2	35887.8	763.51
2.czi	70539ea5-d81d-42bd-a005-2780987dacbe	Annotation	fiber tracts	Right: fiber tracts	Root object (Image)	Geometry	2985.1	4254.4	1009	997	0	20	1407127.3	15220.3
3.czi	4cca985e-674d-4b24-8252-6bb036fea8c8	Annotation	HPF	Right: HPF	Root object (Image)	Polygon	1690.6	4186.5	1089	695	0	4	37415.3	767.98
3.czi	588298ad-9665-4e21-ad14-923d9bf4db54	Annotation	CNU	Right: CNU	Root object (Image)	Geometry	3023.4	2283.1	623	567	0	192	8994844.2	15793.8
3.czi	d15e0b35-ba81-48af-a598-f24cae92638d	Annotation	CTX	Right: CTX	Root object (Image)	Geometry	4049.4	4125.6	688	567	0	577	9562698.9	17333.1
3.czi	9f755973-d93c-4ad1-ae8e-74a147fac9cd	Annotation	fiber tracts	Right: fiber tracts	Root object (Image)	Geometry	2946.1	3784.9	1009	997	0	20	1194867.2	12402.3
4.czi	d8de004a-0a0c-4417-9977-24785be4cf7c	Annotation	HY	Right: HY	Root object (Image)	Geometry	1660.2	1899.7	1097	1129	0	1	328636.2	4914.4
4.czi	e9c28251-0749-4911-a202-999677903611	Annotation	fiber tracts	Right: fiber tracts	Root object (Image)	Geometry	2960.4	4122.3	1009	997	0	14	1146275.6	14739.4
4.czi	20e411ca-8d67-4f92-9514-35cc05d6fa7b	Annotation	CNU	Right: CNU	Root object (Image)	Geometry	2908.7	2894.3	623	567	0	228	9739957.9	19910.6
4.czi	8aed907a-0b12-4cce-bb67-fadcda35c2ce	Annotation	CTX	Right: CTX	Root object (Image)	Geometry	4241.8	4443.9	688	567	0	613	9515885.2	17809.8
4.czi	d9c666b6-046d-4836-9299-5f6795316d1e	Annotation	HPF	Right: HPF	Root object (Image)	Polygon	1905.1	5123	1089	695	0	0	29031.7	693.25
5.czi	bdb05728-dd0d-4964-932a-b4eea17d01b1	Annotation	CNU	Right: CNU	Root object (Image)	Geometry	3435.2	2426.8	623	567	0	223	7715274.4	14419.5
5.czi	9ec767dd-8fc1-4158-b96e-279c516dd655	Annotation	CTX	Right: CTX	Root object (Image)	Geometry	4408.1	4281.5	688	567	0	586	9357179.8	17082.3
5.czi	a32062fb-6806-47dd-8f7c-7f761e5715d6	Annotation	HPF	Right: HPF	Root object (Image)	Polygon	2238.8	4231.1	1089	695	0	0	43978.5	856.21
5.czi	9fe49405-0337-411f-9167-7034a576e8dd	Annotation	fiber tracts	Right: fiber tracts	Root object (Image)	Geometry	3418	3912.4	1009	997	0	18	1229149.5	11975.7
6.czi	513905ae-db9f-4c25-8634-c9e5f625b50f	Annotation	TH	Right: TH	Root object (Image)	Geometry	2081	3660.5	549	1129	0	46	4855495.7	14354.2
6.czi	cd85795b-be07-4367-a1d8-851b1cd150e6	Annotation	HY	Right: HY	Root object (Image)	Geometry	1502.5	1732.2	1097	1129	0	15	2446001.9	7549.5
6.czi	66126bc0-468a-43d9-9c1a-1f8b1aab84f7	Annotation	fiber tracts	Right: fiber tracts	Root object (Image)	Geometry	3131.3	4043.5	1009	997	0	55	2800863.9	40490.2
6.czi	41da54b6-77f8-4976-b267-bc0add5f9eb5	Annotation	HPF	Right: HPF	Root object (Image)	Polygon	2266.4	5267.7	1089	695	0	82	2000765.7	6080.2
6.czi	ca3cb1de-b56a-4376-8ad7-342c79f20395	Annotation	CNU	Right: CNU	Root object (Image)	Geometry	3618.7	2687.5	623	567	0	99	3955436.1	16143.7
