Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: AF594 mean	Cell: AF594 std dev	Cell: AF594 max	Cell: AF594 min	Cytoplasm: AF594 mean	Cytoplasm: AF594 std dev	Cytoplasm: AF594 max	Cytoplasm: AF594 min
1.czi	2e1f7612-8787-46b3-9943-41014bad7dc5	Cell			HY	Polygon	1793.8	1297.6	1484.0352	141.5548	0.9307	48.7933	39.269	0.6239	550.722	281.7695	2708	201	448.0438	113.0529	748	201
1.czi	0593a82f-4d2c-426d-ad05-fc95883aacff	Cell			HY	Polygon	1522.7	1385.3	1945.735	169.5443	0.8506	64.3277	39.4295	0.7959	420.8292	171.7168	1605	199	352.8973	75.5618	608	199
1.czi	8ba4c0a6-a5c9-4b81-af76-5d6130cb0196	Cell			HY	Polygon	1380.8	1528	1640.6834	147.0349	0.9537	48.3782	42.6373	0.4643	339.9463	69.0602	665	193	309.397	49.0037	465	193
1.czi	0c6013a3-eb64-46e8-b841-2fda176039ed	Cell			HY	Polygon	1819.9	1618.7	1666.2417	148.4085	0.9507	49.7076	44.0341	0.4405	298.5208	69.5007	568	186	261.0938	35.662	391	186
1.czi	2a5d9d3e-cfea-4aa5-8eb4-71e4622b6a9c	Cell			HY	Polygon	1708.8	2133.8	1298.5308	130.0351	0.965	44.2158	37.8022	0.4939	381.4698	170.2437	1506	201	310.6861	57.4983	520	201
1.czi	d2447d62-7063-4aae-8edb-1c4dba8c04f1	Cell			HY	Polygon	1908.5	2272.5	2408.2593	183.2962	0.9008	65.5359	48.7284	0.685	465.0322	188.9037	1063	193	351.7961	105.1787	653	193
1.czi	30f1dea3-ddf0-4901-bbf7-e9d2dfdc5739	Cell			CNU	Polygon	3027.7	802.21	1089.9414	120.783	0.9389	40.6978	32.6425	0.5816	493.4653	128.3408	834	226	433.3456	81.5939	649	226
1.czi	9351f841-a934-4127-80ba-8f1e45cd8c7e	Cell			CNU	Polygon	3040.5	837.12	1540.0988	144.7214	0.924	50.1847	39.5886	0.5808	488.443	152.759	837	218	406.0142	105.1019	661	218
1.czi	c77be1ae-d386-4e82-96e6-76fdcbe103cb	Cell			CNU	Polygon	2854.5	840.95	1742.9169	154.9814	0.9119	55.8845	38.0801	0.7227	318.2442	75.2881	574	193	277.5188	36.9175	397	193
1.czi	50414e82-3152-4118-8a31-bf390a395418	Cell			CNU	Polygon	2238.1	844.5	1492.2798	140.903	0.9445	49.3333	37.5283	0.6257	453.9685	185.6843	982	212	355.1058	76.9361	605	212
1.czi	910b93a4-ed3e-418c-9592-6b06735be0ba	Cell			CNU	Polygon	2763.8	866.01	2099.0853	177.2101	0.84	65.5978	40.3595	0.8057	449.7108	160.2799	851	202	359.7702	89.9996	594	202
1.czi	81e321eb-ee1f-484f-b903-42b37c4e1898	Cell			CNU	Polygon	2431	865.39	1401.5888	135.2367	0.963	46.6474	37.1756	0.5843	927.3549	485.0573	2623	236	693.3296	247.3258	1269	236
1.czi	fb58688b-1adf-44f6-a4bb-134dd2a1c897	Cell			CNU	Polygon	2308.9	878.39	1376.8549	133.0201	0.9778	43.6206	40.5314	0.3394	391.3968	102.7632	646	199	342.5767	67.5743	512	199
1.czi	86bd7722-9ce5-495f-84ab-e6fe205c8d0a	Cell			CNU	Polygon	3119.5	920.22	1531.8541	142.8986	0.9427	50.4087	38.6284	0.6337	558.3358	252.5087	1324	206	435.3963	158.9959	774	206
1.czi	2812b1db-c8fe-49f5-b1d8-3bb46e7d2bbd	Cell			CNU	Polygon	1814.2	974.86	1464.2481	139.1159	0.9508	47.037	40.2353	0.4614	302.7496	74.1153	543	179	265.5829	39.0857	392	179
1.czi	b0d2b248-baca-4d37-8219-e3d886f7a327	Cell			CNU	Polygon	2719.1	1003.5	1284.5149	130.4713	0.9482	44.3767	39.2527	0.4569	418.3637	102.0365	986	254	379.6056	40.9352	505	254
1.czi	b48da504-42eb-4f10-9d40-27c15a9242ca	Cell			CNU	Polygon	1838.7	1078	2345.6001	194.4107	0.7799	74.7537	41.1711	0.8558	537.8502	174.6268	1677	221	463.085	71.3907	655	221
1.czi	150fbb7a-270e-430f-a4d8-b10581ba0782	Cell			CNU	Polygon	2845.3	1072.6	1526.0829	142.0728	0.9501	49.2483	40.9491	0.5207	279.3376	50.4945	520	192	256.8803	25.3808	350	192
1.czi	dc781985-f150-4595-ad21-71d9d7f4efec	Cell			CNU	Polygon	2005.8	1087.6	2061.9845	175.9952	0.8366	66.4041	39.8828	0.8075	363.7584	124.9135	1185	194	312.1327	63.1998	588	194
1.czi	b0743121-0867-4557-88a0-c96027613c57	Cell			CNU	Polygon	2611.4	1080.6	1855.044	165.804	0.848	59.8216	41.69	0.7593	701.9947	292.283	2205	221	583.3725	154.6118	988	221
1.czi	77980ac6-355c-4706-90f3-1800574add43	Cell			CNU	Polygon	2478.3	1086.3	1200.4196	124.3975	0.9748	40.2281	38.5768	0.2346	588.4526	176.8911	1594	275	522.6978	69.6936	696	275
1.czi	bc5af3fc-fcb5-414c-a0d4-5c5598b4a41a	Cell			CNU	Polygon	2684.4	1091.8	1452.7056	140.5737	0.9238	52.1006	35.3282	0.7378	245.042	45.2294	459	180	225.7287	15.2586	288	180
1.czi	b72a48ab-723a-4c04-8ca8-af791127bc7a	Cell			CNU	Polygon	2332.3	1098.7	1476.615	141.5973	0.9255	49.9943	38.7307	0.6451	332.6908	114.4037	821	179	281.407	56.1637	468	179
1.czi	dd44d2dc-fc1a-47ec-84ab-4ab36da4dbf7	Cell			CNU	Polygon	2413.6	1119.6	1811.3474	162.5491	0.8615	62.0556	38.0505	0.7871	373.8272	86.2148	630	195	340.3779	71.4982	503	195
1.czi	91348cbe-cb6f-498c-a7d9-7fbc329c7f7f	Cell			CNU	Polygon	2724.5	1149.9	1800.6294	159.5191	0.8892	60.8644	37.4239	0.7854	270.3058	56.1522	503	186	240.6701	23.9249	336	186
1.czi	1627a44f-2918-4127-b08d-a18022ef421e	Cell			CNU	Polygon	2959.3	1150.4	1728.0765	152.3991	0.935	53.8055	39.6125	0.6545	373.0052	84.2616	590	198	328.6605	56.2788	471	198
1.czi	4ffa0e88-fffd-422e-b3d1-7f8609c2c900	Cell			CNU	Polygon	2655.8	1149.3	1238.3449	126.3284	0.9751	42.0738	38.1707	0.4048	679.1722	275.4904	1796	238	559.7101	141.5107	888	238
1.czi	f1b4816f-09d5-47b7-a904-e5884d431848	Cell			CNU	Polygon	3139.9	1176	1349.6476	135.1405	0.9287	46.5139	37.8375	0.5591	560.807	229.8635	1233	189	435.1741	150.2273	853	189
1.czi	65db4b61-6c91-4b4a-92d8-4d79369cdbd4	Cell			CNU	Polygon	3070.3	1179	1833.6079	162.2725	0.875	61.9482	36.9005	0.8052	403.1551	142.0128	925	201	330.875	76.359	622	201
1.czi	8bd2ce46-8ae6-4456-9b1d-be786c7082d0	Cell			CNU	Polygon	2318.9	1184.9	2359.616	192.5302	0.7999	64.0955	46.6673	0.7081	446.0451	199.496	1553	188	350.2847	96.406	683	188
1.czi	dc14ebb9-912e-4523-981b-fed8ce4d40db	Cell			CNU	Polygon	2570.4	1237.5	1681.0821	152.2787	0.911	53.0785	38.5232	0.6684	285.6523	75.6209	787	197	254.5635	34.7601	406	197
1.czi	d9e1aba0-e6c9-487c-8cfb-88f99eac75c8	Cell			CNU	Polygon	2814.9	1265.2	1963.8732	169.7714	0.8562	62.7908	39.1077	0.8004	1008.1413	619.1589	5090	210	746.9256	317.3751	1492	210
1.czi	a7474de8-7a70-460f-9766-425905fcfbbc	Cell			CNU	Polygon	2966.8	1274	1711.5873	155.5364	0.8891	56.2856	38.9191	0.7345	374.0933	170.4738	1651	204	299.8869	60.9681	484	204
1.czi	80151692-e0fa-4211-a256-35db35105395	Cell			CNU	Polygon	3063	1295.2	1458.4768	140.5876	0.9273	50.852	36.7837	0.7005	1128.5138	605.8853	5312	253	897.6371	288.5485	1581	253
1.czi	c3c05709-4b22-4fbc-8ee7-afd779fc7716	Cell			CNU	Polygon	1982.1	1310.5	1362.839	132.5761	0.9744	44.4219	40.4431	0.379	247.8441	39.4661	408	180	232.3383	25.1885	351	180
1.czi	f5373818-d0df-44b2-ad7e-dcba54defca7	Cell			CNU	Polygon	2944.1	1369.4	1713.2362	152.7019	0.9233	53.6361	39.9564	0.6786	472.165	163.9213	1047	209	390.2428	112.0606	794	209
1.czi	cc4eaaf1-1fa0-47b3-b00a-878ac3d43961	Cell			CNU	Polygon	2546.6	1390.2	2568.2054	192.6188	0.8698	64.2653	52.7891	0.5836	318.6339	77.2302	584	188	276.7324	49.4542	555	188
1.czi	b050d4bd-42eb-4b34-b1be-c1a4056882c6	Cell			CNU	Polygon	1926.5	1431	2075.1759	179.1533	0.8125	67.8411	38.1012	0.8378	547.8686	326.5623	3571	196	414.6514	134.5625	842	196
1.czi	76a1a817-6b5c-4afa-9894-bbc0c5df489a	Cell			CNU	Polygon	2900.1	1430.7	1998.5007	170.0173	0.8688	62.4891	41.6491	0.7674	783.6333	343.1169	3172	323	655.5503	150.6288	1155	323
1.czi	e7b5244c-4e02-4f09-a1d4-718525f0fd74	Cell			CNU	Polygon	2703	1442.9	2028.1814	174.2213	0.8397	65.9784	39.7805	0.8193	291.8676	70.4557	638	191	253.9083	31.6368	384	191
1.czi	56184d23-c99e-4755-a819-0d3eed79e953	Cell			CNU	Polygon	3045.7	1468.6	1464.2481	139.5459	0.9449	49.9393	37.7874	0.6451	1248.4025	436.2587	3225	547	1060.9824	200.7057	1648	547
1.czi	798ebae1-280e-429c-8aca-bfd8ab91bd41	Cell			CNU	Polygon	1980.3	1480.9	2021.5857	172.774	0.851	66.3502	39.044	0.8237	270.1646	78.7388	814	176	229.0902	23.1705	468	176
1.czi	4ca32429-ea18-4a10-a004-3c0750be48cf	Cell			CNU	Polygon	3117.5	1486	991.8302	122.0231	0.8371	44.7766	28.6374	0.736	465.5922	174.0609	970	213	370.2479	105.9768	713	213
1.czi	4392438b-c75f-4fae-be91-34c9f8ff1e15	Cell			CNU	Polygon	3185.8	880.62	2266.4515	184.9893	0.8323	61.5452	48.2471	0.6651	348.2835	115.1162	746	186	286.0723	51.3388	461	186
1.czi	521fbcac-ea73-4f6f-a643-0e86a2f4de79	Cell			CNU	Polygon	3237.9	912.01	1540.0988	143.1022	0.9451	49.0975	39.5144	0.5463	582.5449	274.2623	1351	206	436.2247	144.1222	881	206
1.czi	922c3d2a-e6ac-4598-bf99-298d342795b8	Cell			CNU	Polygon	3119.5	977.43	1531.8541	142.8985	0.9427	50.4085	38.6284	0.6337	558.3358	252.5087	1324	206	435.3963	158.9959	774	206
1.czi	7408f8ed-e447-4739-8e6a-38acc211f4a5	Cell			CNU	Polygon	3280.8	1004.4	1624.1941	146.8657	0.9463	51.6544	38.9827	0.6447	827.9675	293.6316	1432	308	672.1566	194.1292	1122	308
1.czi	fe838820-9cb0-461d-8a38-1c77f9ce71ae	Cell			CNU	Polygon	3331.2	1007.7	1639.0344	149.9062	0.9166	55.0901	36.3314	0.7461	301.8487	62.0968	528	202	269.8412	29.6066	356	202
1.czi	c317ac25-4eae-4d59-9c5f-30f1e4c06a43	Cell			CNU	Polygon	3168	1022.9	1146.005	121.5827	0.9742	39.5252	37.3585	0.2603	240.4135	53.4877	659	178	223.2828	13.7762	272	178
1.czi	2c89e354-2ad8-420a-a935-2389010555f2	Cell			CNU	Polygon	3447.2	1064	1283.6904	128.7617	0.973	42.3198	39.3793	0.3363	510.0578	211.4312	1469	208	422.2129	124.2968	763	208
1.czi	47b17083-9cac-4f6a-8be7-52e406bd548e	Cell			CNU	Polygon	3462.9	1178.6	2246.6644	188.7817	0.7922	68.0118	40.693	0.8236	791.48	300.4368	2264	230	654.9719	177.2058	1040	230
1.czi	744627cf-ae66-4ddf-9198-16024899e829	Cell			CNU	Polygon	3143.5	1233.8	1615.9494	147.0219	0.9394	49.7897	40.3828	0.548	546.2463	220.4993	1233	189	436.9389	145.0848	786	189
1.czi	1756feb2-5457-4640-a86d-72b7eb23aae3	Cell			CNU	Polygon	3656.2	1232.6	1376.8549	134.7277	0.9532	46.4288	37.7548	0.571	531.7784	236.4744	2015	226	421.7437	102.6856	703	226
1.czi	4ed3cf22-e8ac-48e4-8f11-f9736fe40e8c	Cell			CNU	Polygon	3465.1	1251.1	1262.2544	127.9712	0.9686	43.6376	37.4972	0.4721	485.5173	231.8136	1394	215	381.3005	113.9165	944	215
1.czi	e834a64f-0b9d-4c95-9402-1df3f70d34d3	Cell			CNU	Polygon	3769.3	1284.4	1629.1409	149.1588	0.9202	52.9312	41.8252	0.6179	587.524	322.0601	1749	215	419.4494	152.3985	940	215
1.czi	a5a68791-c5be-48fb-958a-85cf60019ca6	Cell			CNU	Polygon	3350.3	1293.4	1653.8748	151.6662	0.9035	54.134	39.047	0.7165	1558.7039	908.7101	5821	248	1142.7465	527.5139	2438	248
1.czi	926175f9-f524-4510-8857-7013e51c46af	Cell			CNU	Polygon	3594.3	1297.2	1189.7016	123.9503	0.9731	41.8908	36.7638	0.4455	314	157.9851	1048	203	254.6558	20.3307	340	203
1.czi	89fdb0d7-4808-42cc-ae90-2b6c416c9a75	Cell			CNU	Polygon	3226.6	1305.4	1616.7739	146.9067	0.9414	48.8752	44.0284	0.4136	379.2891	156.7235	869	185	293.5729	69.2217	559	185
1.czi	21ed11b1-9a76-44e2-b109-c1274cb243b5	Cell			CNU	Polygon	4089	1361.9	1890.496	167.1331	0.8505	57.3974	45.262	0.6204	594.9385	255.0742	1983	207	498.6334	176.1968	1047	207
1.czi	70315842-9ba0-4ae0-b4ed-e41da1913409	Cell			CNU	Polygon	3715.9	1372.7	2358.7915	182.9284	0.8858	65.8061	49.2258	0.6655	534.6572	230.1324	1408	220	408.2182	121.5251	803	220
1.czi	a19ad0ed-36b4-4fc3-bcaf-70e82dbb31c0	Cell			CNU	Polygon	3342.2	1386.6	1620.0718	147.4101	0.9369	50.7998	42.3755	0.5614	757.8458	361.6664	2058	216	585.905	241.0951	1185	216
1.czi	dcdcd05f-ef00-4398-82d9-8e7a80f710ad	Cell			CNU	Polygon	3239.5	1402.2	1862.4642	161.5675	0.8966	56.5777	41.3047	0.7043	616.7728	291.0401	1798	216	473.5898	171.7733	933	216
1.czi	2d31e6c1-9852-462e-bdaf-db41580a4aaa	Cell			CNU	Polygon	4002.4	1403.2	1827.0122	162.2173	0.8725	57.3966	41.1961	0.7424	822.7873	445.1337	3197	219	636.4287	264.6725	1339	219
1.czi	f6c1f820-81ad-45a2-bb7d-58186cfddd02	Cell			CNU	Polygon	3561.7	1416.4	1864.9376	165.2438	0.8583	59.9877	38.5548	0.7798	647.3002	325.8717	2724	228	508.7545	175.8133	944	228
1.czi	01c6f8f7-c866-4672-bb2d-e55ce5ce7b25	Cell			CNU	Polygon	2943	1434.1	1169.09	126.0802	0.9242	42.4928	34.504	0.5164	512.2314	154.5736	933	226	433.4075	116.8526	794	226
1.czi	2425d030-5a39-4303-85d3-b84b46a2196a	Cell			CNU	Polygon	2546.6	1447.5	2559.9607	191.9671	0.873	64.1731	52.7891	0.5806	318.867	77.1902	584	188	276.9237	49.4515	555	188
1.czi	bfd96b91-81cf-4fd0-8167-46e1e01d5476	Cell			CNU	Polygon	1926.5	1488.3	2075.1759	179.1533	0.8125	67.8411	38.1012	0.8378	547.8686	326.5623	3571	196	414.6514	134.5625	842	196
1.czi	9f2e5c06-6948-4b60-b454-159c3135e06f	Cell			CNU	Polygon	2900.1	1488	1998.5007	170.0173	0.8688	62.4891	41.6491	0.7674	783.6333	343.1169	3172	323	655.5503	150.6288	1155	323
1.czi	66f7a5f5-979b-4971-8bb3-7c4d2c151c85	Cell			CNU	Polygon	2703	1500.2	2028.1814	174.2214	0.8397	65.9783	39.7805	0.8193	291.8676	70.4557	638	191	253.9083	31.6368	384	191
1.czi	97125c6c-d06d-40f8-ba82-91f9013ba3b9	Cell			CNU	Polygon	3045.7	1525.8	1464.2481	139.5459	0.9449	49.9394	37.7874	0.6451	1248.4025	436.2587	3225	547	1060.9824	200.7057	1648	547
1.czi	45cdfe97-d4f8-48b0-a63a-43b3c033891d	Cell			CNU	Polygon	1980.6	1539.4	2173.2871	175.8957	0.8827	66.2481	42.4334	0.7834	266.7279	77.0333	814	176	228.2527	22.4791	468	176
1.czi	cd740ab2-7bd2-4e2d-a1ff-3ddd525a49b4	Cell			CNU	Polygon	2711	1538	1145.1805	121.5757	0.9736	40.705	35.5216	0.4602	282.4838	74.1548	692	198	252.0029	25.7896	378	198
1.czi	f486b7f6-3bbd-4ce6-926a-02e1f0c8ef71	Cell			CNU	Polygon	2257.1	1582.3	2668.79	197.3597	0.861	66.5377	52.4787	0.5977	419.3509	108.8523	855	194	358.7178	76.0009	584	194
1.czi	9167167d-83fa-46a3-b918-53b7bc52eb46	Cell			CNU	Polygon	2071.1	1636.2	1953.9797	166.8725	0.8818	58.8259	44.9786	0.6721	345.6016	103.7641	714	186	290.6227	58.1087	453	186
1.czi	908af1e7-7016-43c7-b5c1-e48e9abe27e4	Cell			CNU	Polygon	3055.2	1666.2	1311.7222	130.209	0.9722	44.3696	38.4277	0.515	492.8536	197.7781	1789	239	411.7995	71.6509	620	239
1.czi	d2cd9a09-2e13-4f9b-b02f-f43bb84f4f2c	Cell			CNU	Polygon	3005.7	1704.3	2408.2593	195.5611	0.7913	77.4843	40.1995	0.8674	326.9908	70.1286	688	208	295.655	43.8829	500	208
1.czi	99fa3f5e-e868-4386-a5d0-aae016d9de95	Cell			CNU	Polygon	2951.8	1716.4	1772.5976	165.2207	0.816	62.9536	39.6131	0.8099	334.0563	66.9327	774	210	304.8033	43.1782	570	210
1.czi	97ff511e-4123-4d56-8ad8-7431530e2507	Cell			CNU	Polygon	2963.2	1760.1	1564.0082	149.7089	0.8769	53.7746	37.7439	0.7157	306.63	65.2144	578	190	278.6955	42.5413	467	190
1.czi	f85acc97-3923-434a-ac5d-e70b7a806cdd	Cell			CNU	Polygon	2727.4	1940.1	1282.0415	131.4548	0.9323	47.9326	34.11	0.7012	349.4051	59.0647	597	229	333.6065	47.738	545	229
1.czi	ff1908e2-68af-4df7-8cd6-851adb0e1497	Cell			CNU	Polygon	2646.9	1994.4	2463.4984	207.3166	0.7203	84.0879	38.6719	0.9073	345.5814	47.8015	618	225	324.6824	32.1023	510	225
1.czi	c433c575-5b9b-4c82-b360-7818b380faea	Cell			CNU	Polygon	2604.6	2002.6	1723.1298	155.4598	0.896	53.7742	42.2002	0.6095	351.2287	48.7693	610	219	333.8877	34.7741	464	219
1.czi	38c71586-c3ea-407f-8c73-3569877e9014	Cell			CNU	Polygon	2621.7	2038.1	1133.638	135.9049	0.7713	47.1143	38.5866	0.3933	353.3628	42.2589	528	257	339.2997	33.5342	485	257
1.czi	09c70498-bbe8-4d6e-b652-78221e1e10aa	Cell			CNU	Polygon	2585.2	2042.4	1119.6221	123.6791	0.9198	42.973	34.5586	0.5684	341.4776	47.4948	556	233	323.5264	33.5681	442	233
1.czi	aa02e222-c95f-40f9-9e40-abf42f65aa18	Cell			CNU	Polygon	2797.9	2056	1455.179	140.0296	0.9326	49.9482	37.3975	0.6567	333.9282	47.6697	525	214	318.8233	37.7879	456	214
1.czi	ddd75a26-960d-40b9-8ddb-b7758996b3fd	Cell			CNU	Polygon	2624.2	2082.3	1986.9582	175.5544	0.8102	62.402	44.5379	0.7388	364.275	57.8221	746	242	341.8549	39.2415	484	242
1.czi	2aefa0dc-7151-4145-9b96-0df3441a4d53	Cell			CNU	Polygon	2596.8	2114.3	2489.8813	220.5448	0.6433	86.0523	43.8866	0.8856	340.8714	48.6309	526	205	323.6254	42.9269	450	205
1.czi	d495110b-ecba-4ddc-b87e-c7e98a1ec08c	Cell			CNU	Polygon	2697.6	2112.1	2515.4397	202.2585	0.7727	74.3274	40.6388	0.8556	348.9702	45.4553	547	211	333.1204	37.7429	547	211
1.czi	2126975b-b16f-4eac-879f-760641243c8b	Cell			CNU	Polygon	2953.8	2109.5	1512.067	141.3977	0.9504	48.0291	41.9476	0.4028	291.8656	66.6734	577	189	263.2502	47.0415	419	189
1.czi	e3471138-4a75-492e-a894-3c287d801c61	Cell			CNU	Polygon	2655.9	2143.5	1266.3767	128.0026	0.9713	42.0749	38.7191	0.261	337.3674	44.1225	535	238	320.7552	31.9886	432	238
1.czi	27072ec7-5d87-475e-b4c2-75295ec23538	Cell			CNU	Polygon	2097	2178.1	1757.7572	155.7344	0.9108	55.5471	41.8166	0.6541	340.1094	71.2366	673	203	306.7416	44.8949	439	203
1.czi	fb7b766c-a196-4dd0-804a-15ee44e15776	Cell			CNU	Polygon	2879.2	2463.9	1124.5689	120.0422	0.9807	39.4037	36.3829	0.2999	290.9312	108.7811	842	198	252.3605	16.5015	304	198
1.czi	456b228a-7589-4c57-b88d-908860054ab2	Cell			CNU	Polygon	2581.9	2607	1116.3243	119.9477	0.975	39.463	37.2137	0.2415	249.3901	54.85	646	185	232.7116	16.9137	319	185
1.czi	19782849-f0ff-40e2-bdbe-beb548f215fa	Cell			CNU	Polygon	2221.3	2659.1	1638.21	148.0949	0.9386	51.53	40.8682	0.6093	277.3913	50.5365	591	184	253.0524	23.0784	347	184
1.czi	3cd81835-88f4-4af4-b020-ff0d9f20eb7b	Cell			CNU	Polygon	1905.1	2691	1686.8533	150.5863	0.9348	50.5393	41.7746	0.5649	348.8205	70.2976	718	214	318.1795	37.3468	428	214
1.czi	f412b2fc-cfe6-4fd0-925b-d23604276d9c	Cell			CNU	Polygon	1928.2	2753.7	1729.7255	154.1469	0.9148	53.8034	40.5442	0.6671	408.9776	125.5513	1138	205	351.3003	65.187	550	205
1.czi	e996c4a0-8de6-4778-bf68-94ed8573a33d	Cell			CNU	Polygon	2008.8	2901	1423.8493	137.4636	0.9469	47.2313	39.6903	0.5498	280.6485	58.4021	616	193	255.4192	29.791	382	193
1.czi	470696ca-b2e5-4a0e-8606-09bb0b9ccb22	Cell			CNU	Polygon	4035.7	1467.6	2308.4992	178.9999	0.9054	61.128	50.0049	0.5759	340.2256	92.2772	653	202	281.9096	46.2779	481	202
1.czi	ded81fda-a56f-4eb4-98b9-90108aeee769	Cell			CNU	Polygon	3875.9	1490.6	2120.5214	177.5296	0.8455	67.8932	42.3635	0.8014	628.2143	300.2694	1543	204	475.7557	204.5616	1051	204
1.czi	075f4738-a1bf-4ca8-b692-baafafc576ae	Cell			CNU	Polygon	3254.5	1518.6	1156.723	122.5347	0.9681	40.4475	36.1402	0.3896	308.99	154.9694	1141	198	253.6977	20.6147	376	198
1.czi	00230f19-fa1c-4ceb-8d35-ac2f80a4d5c0	Cell			CNU	Polygon	3417.4	1540.7	2596.2371	211.1566	0.7317	84.1281	40.5658	0.8974	901.1846	482.7853	3638	230	680.6261	265.9225	1495	230
1.czi	a4193330-8c44-422d-bf80-60b52db57e06	Cell			CNU	Polygon	3351.9	1543.1	1538.4498	146.379	0.9023	51.0494	41.0368	0.5801	639.8263	254.5931	1963	212	541.8318	144.8839	875	212
1.czi	92aee702-45b7-464b-a825-0d9dade31267	Cell			CNU	Polygon	3118.8	1548.7	1577.1996	143.6913	0.9599	49.573	41.5194	0.488	420.3076	164.5968	970	209	332.2326	83.3861	624	209
1.czi	66ece651-0c81-4d5a-8d56-a4a59a5d9eef	Cell			CNU	Polygon	3266.4	1592.1	1059.4362	118.6061	0.9464	39.5665	34.1229	0.491	383.7918	71.6698	804	246	357.3041	35.2304	482	246
1.czi	bf63268b-b93a-4cc2-88be-015fd54e23b5	Cell			CNU	Polygon	3438	1614.6	2061.9845	177.4946	0.8225	63.4601	47.49	0.7037	925.3677	590.104	5660	238	706.4103	298.0468	1549	238
1.czi	3529a945-b3a4-4446-b443-090166a78336	Cell			CNU	Polygon	3348.7	1610.1	1491.4554	140.3246	0.9518	47.178	41.8043	0.3909	331.2692	56.7412	658	218	310.7053	29.9467	408	218
1.czi	31639970-9390-4d38-878d-6dcef95d955b	Cell			CNU	Polygon	3213.5	1613	1040.4736	119.1847	0.9204	39.5996	32.772	0.5694	697.2089	322.1557	2474	266	568.4968	129.8278	957	266
1.czi	30f176d5-736a-4b92-9f1e-55cdbb2b54d7	Cell			CNU	Polygon	3242.7	1617.8	1124.5689	125.5347	0.8967	46.1604	31.5294	0.7168	599.9209	290.6791	1883	221	459.2417	121.7774	1080	221
1.czi	16ac9782-3f0c-4d77-aacc-29d2f91b80dc	Cell			CNU	Polygon	4265.5	1626.1	1620.0718	150.1345	0.9032	54.1805	38.8827	0.7133	545.6043	231.653	1939	201	456.5673	118.4415	816	201
1.czi	6c38de67-93eb-4b90-9251-07c96b9c3296	Cell			CNU	Polygon	3825.1	1640.3	2888.0974	203.6552	0.875	72.6405	49.7588	0.7289	574.5137	273.4726	1458	214	409.2694	162.7913	984	214
1.czi	a5587633-dec3-4ca1-833d-d5528876dd54	Cell			CNU	Polygon	3925	1647.5	2698.4707	211.2554	0.7598	77.3345	48.5416	0.8149	362.4746	129.938	863	180	291.6759	61.3338	547	180
