Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: AF594 mean	Cell: AF594 std dev	Cell: AF594 max	Cell: AF594 min	Cytoplasm: AF594 mean	Cytoplasm: AF594 std dev	Cytoplasm: AF594 max	Cytoplasm: AF594 min
1.czi	44826b3f-ef2e-48f8-9d8b-67bbed8e4a56	Cell			fiber tracts	Polygon	1800.4	2671	1748.6881	158.6197	0.8734	59.5891	38.08	0.7796	425.3632	49.6373	614	288	408.0938	40.8596	532	288
1.czi	f768fad4-20e9-4eb5-9588-8f0034ac9780	Cell			fiber tracts	Polygon	1840.5	2742	1360.3656	135.0144	0.9378	48.3878	38.115	0.6379	488.4743	92.5991	920	298	451.5052	47.5349	576	298
1.czi	c24e4ba3-eb66-4f5b-b62a-54157b7a9cc3	Cell			fiber tracts	Polygon	1698.2	2765.8	1257.3076	130.4003	0.9292	45.5422	34.6709	0.6478	437.3547	55.2215	708	348	420.6868	38.6997	600	348
1.czi	a6c13c35-2c55-434c-84d4-37247f1d2940	Cell			fiber tracts	Polygon	4312.3	2855.6	1493.9288	141.12	0.9427	47.8238	41.0147	0.5016	278.484	60.7412	569	193	249.5998	19.769	352	193
1.czi	60f5f983-af32-46d2-b871-122195eda000	Cell			fiber tracts	Polygon	4404.3	3104.2	1871.5333	168.9257	0.8242	65.3301	37.15	0.835	371.1994	89.7589	742	194	334.7464	64.3495	600	194
1.czi	1cdd7118-5330-4a2a-be90-4effdcde0974	Cell			fiber tracts	Polygon	4404.3	3176.3	1249.063	128.4376	0.9515	41.6895	38.7475	0.1673	696.0745	345.5597	2949	234	572.1415	154.9632	1037	234
1.czi	19f0221c-0e15-4ffe-893c-5d01cf761267	Cell			fiber tracts	Polygon	4425.6	3232.4	1552.4657	145.6876	0.9192	52.2325	37.3584	0.7024	310.1977	66.7995	583	188	280.9507	39.9739	447	188
1.czi	9d6fbf7f-2a38-4fb6-bb9a-8f79e13bb427	Cell			fiber tracts	Polygon	4395.8	3615.9	1971.2934	176.0875	0.7989	68.0136	37.1061	0.8444	699.9849	338.3346	2234	216	584.4648	230.2984	1266	216
1.czi	bb2bd2d1-f17a-4abe-9e11-011d01e8e612	Cell			fiber tracts	Polygon	2259.3	5115.4	1361.1901	132.5954	0.9729	43.4206	40.1108	0.3602	270.0893	44.412	467	187	250.209	19.8373	315	187
1.czi	cff963f2-7a33-4d0e-b6ea-888f5ad4727f	Cell			fiber tracts	Polygon	2325.5	5134.7	1540.9232	143.4621	0.9408	50.8716	38.5448	0.6634	291.6848	58.8652	512	196	261.3964	26.6477	357	196
