Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Parent ID	Side	Num Detections	Area µm^2	Perimeter µm
1.czi	bf3c4977-777f-40be-a736-6510fa2aee95	Annotation	CNU	Right: CNU	Root object (Image)	Geometry	3113.8	3322.3	623	567	0	418	10602155.6	19089.3
1.czi	c305b5b2-ad62-489f-9162-e7f2fa87e6c1	Annotation	CTX	Right: CTX	Root object (Image)	Geometry	3982.8	5031.9	688	567	0	861	10131682.7	19147.1
1.czi	7dc73fc4-41ed-4cb7-8a48-7cb5db2f436a	Annotation	HPF	Right: HPF	Root object (Image)	Polygon	1365.1	5249	1089	695	0	0	24875.2	637.2
1.czi	6f3b04a1-7e83-4996-aacc-e9a10e2a311a	Annotation	fiber tracts	Right: fiber tracts	Root object (Image)	Geometry	2664.4	3966.3	1009	997	0	34	1278376.8	18244.8
1.czi	2292f886-917e-4d3b-87d7-9e4f397855e6	Annotation	HY	Right: HY	Root object (Image)	Geometry	1969.5	2020.9	1097	1129	0	11	1251123.1	6409
2.czi	1e4df386-c3b4-4664-8e74-dcb2b7623fcf	Annotation	CNU	Right: CNU	Root object (Image)	Geometry	3102.1	2974.4	623	567	0	386	8362773.5	17491.5
2.czi	b9f41d72-2eac-459c-9679-da30081550bb	Annotation	CTX	Right: CTX	Root object (Image)	Geometry	3847	4861.8	688	567	0	778	8410992	16642.6
2.czi	b782e57e-278d-4244-98b6-0094567ed997	Annotation	HY	Right: HY	Root object (Image)	Geometry	2316.4	1719.7	1097	1129	0	1	105622.4	3006.4
2.czi	6af14982-2d2c-48a2-b770-920b28a08da5	Annotation	HPF	Right: HPF	Root object (Image)	Polygon	1682.6	4755.3	1089	695	0	0	28897.1	680.04
2.czi	3b3f51a2-dd72-461d-9ac3-cef0a445d6cb	Annotation	fiber tracts	Right: fiber tracts	Root object (Image)	Geometry	2880.1	4166.6	1009	997	0	27	1094093.4	13374.9
3.czi	61800381-588d-4e9e-8372-1d979b24215b	Annotation	fiber tracts	Right: fiber tracts	Root object (Image)	Geometry	2766.7	3117.4	1009	997	0	39	1062837.7	10921.5
3.czi	b7d2f6be-0159-4d5e-9ed7-cb6ba0ddcd61	Annotation	HPF	Right: HPF	Root object (Image)	Polygon	1608.3	3195	1089	695	0	0	78621.2	1870.1
3.czi	5952753e-3375-4a53-92e4-73c10ae1b395	Annotation	CNU	Right: CNU	Root object (Image)	Geometry	2571.7	1671.6	623	567	0	365	6828388.4	14012.8
3.czi	49e58fcb-191e-45c3-a766-0a7727eee504	Annotation	CTX	Right: CTX	Root object (Image)	Geometry	3644.4	3402.5	688	567	0	731	8774425	17718.1
4.czi	bff4cb8f-cffe-4c67-b634-6964f7289d7b	Annotation	CNU	Right: CNU	Root object (Image)	Geometry	3639.6	3039.7	623	567	0	327	5728957.1	18035.8
4.czi	38a92b81-ae05-4873-9cb6-9e3820c8b760	Annotation	CTX	Right: CTX	Root object (Image)	Geometry	4136.9	4110.5	688	567	0	771	9753971.9	22318.7
4.czi	3fedf3c6-5b85-4641-9e34-788a3947c464	Annotation	HPF	Right: HPF	Root object (Image)	Polygon	1679.7	5264.5	1089	695	0	4	14041.7	497.9
4.czi	c64bb0d2-1626-4552-afa2-142751e8adc0	Annotation	TH	Right: TH	Root object (Image)	Polygon	2176.2	3230.1	549	1129	0	34	1653550.1	5779.9
4.czi	eb422f3d-9d05-4f62-9c59-50fbdcf26c5b	Annotation	HY	Right: HY	Root object (Image)	Geometry	2092.4	1796	1097	1129	0	29	1975360.2	8137.9
4.czi	475ec7f3-8e97-4fc6-be39-df505c2d0a8f	Annotation	fiber tracts	Right: fiber tracts	Root object (Image)	Geometry	2786.3	3801.6	1009	997	0	58	2089784.4	28104.2
5.czi	472f50e5-de9a-4490-ac0b-dcf5d346e293	Annotation	HPF	Right: HPF	Root object (Image)	Polygon	1792.9	5053	1089	695	0	8	19953.5	566.83
5.czi	ac3e74ef-1cf2-4108-b985-4ddf429fbac9	Annotation	CNU	Right: CNU	Root object (Image)	Geometry	3344.3	2987.7	623	567	0	380	9498435.7	23442.9
5.czi	a6bf5862-cffd-4311-aaaf-2abb842e977d	Annotation	CTX	Right: CTX	Root object (Image)	Geometry	4303.2	4437.2	688	567	0	775	9915361.2	19668.5
5.czi	3f43e8a0-6d26-40ef-8597-a5e157182d63	Annotation	HY	Right: HY	Root object (Image)	Geometry	2130.5	1658.9	1097	1129	0	11	1352457.6	7189.6
5.czi	cef57a4f-f0ea-4321-9df3-f0da5c558cfc	Annotation	fiber tracts	Right: fiber tracts	Root object (Image)	Geometry	2710.6	3303.7	1009	997	0	57	1620410	23982.9
