Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Parent ID	Side	Num Detections	Area µm^2	Perimeter µm
1.czi	84583fcb-b773-4c87-bcef-31633a8ffd94	Annotation	fiber tracts	Right: fiber tracts	Root object (Image)	Geometry	2359.4	3573.9	1009	997	0	26	1168646.6	18308.6
1.czi	96a1f0fc-8519-4fe5-a110-a986ab79e53b	Annotation	CNU	Right: CNU	Root object (Image)	Geometry	2813.9	3093.6	623	567	0	274	8903394.6	18532.2
1.czi	3d57741e-8f68-424d-8c43-a786e0579168	Annotation	CTX	Right: CTX	Root object (Image)	Polygon	3710	4568.9	688	567	0	444	8537094	17563
1.czi	47136fae-33aa-4372-b845-66fb4e06c5fa	Annotation	HY	Right: HY	Root object (Image)	Geometry	1678.6	1938.1	1097	1129	0	11	1063839.1	6276.3
1.czi	33e5f4d8-44a0-4784-8380-1b2fe35fc210	Annotation	HPF	Right: HPF	Root object (Image)	Polygon	1277.3	4936.6	1089	695	0	0	19753.5	578.18
2.czi	20d8a6a0-233f-44c9-9dfc-585b2787833e	Annotation	HPF	Right: HPF	Root object (Image)	Polygon	2078.9	4688.4	1089	695	0	0	22515	604.68
2.czi	9118b4f1-b51d-4bde-9ca4-962e8da3db4f	Annotation	CNU	Right: CNU	Root object (Image)	Geometry	3347.9	2720.1	623	567	0	214	8749022.5	17399.1
2.czi	ed2fc95f-e543-42a9-ab05-fbcb2dabe409	Annotation	CTX	Right: CTX	Root object (Image)	Geometry	4410	4155.1	688	567	0	431	8425238.7	17269
2.czi	9e064c7e-c9f5-4f8d-b4be-accb76a3aaef	Annotation	HY	Right: HY	Root object (Image)	Geometry	2112.8	1795.1	1097	1129	0	8	928334	5498.7
2.czi	0d692243-535e-435e-bd9f-1d374f6c1dce	Annotation	fiber tracts	Right: fiber tracts	Root object (Image)	Geometry	3101.4	3507.4	1009	997	0	9	1021962.3	14919.2
3.czi	c352f179-7738-47b7-857b-658c7634938a	Annotation	fiber tracts	Right: fiber tracts	Root object (Image)	Geometry	3098.3	3396	1009	997	0	38	938819.1	9735.8
3.czi	445eb932-fb52-409a-b8f6-d8953205ba6b	Annotation	CNU	Right: CNU	Root object (Image)	Geometry	2901.9	1943.5	623	567	0	118	6001370.5	12196.6
