Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: AF594 mean	Cell: AF594 std dev	Cell: AF594 max	Cell: AF594 min	Cytoplasm: AF594 mean	Cytoplasm: AF594 std dev	Cytoplasm: AF594 max	Cytoplasm: AF594 min
4.czi	16f1bc53-f92d-4e0d-89b8-777a5d5650b5	Cell			CTX	Polygon	1812.1	5571.8	1624.1941	151.2368	0.8923	54.6755	38.4503	0.7481	607.442	236.2501	1911	250	504.4768	105.4432	801	250
4.czi	782e0061-9984-4706-b328-98b82d8c4d4b	Cell			CTX	Polygon	2129.9	5579.9	1928.4213	159.4759	0.9528	53.916	47.404	0.4357	422.6543	106.4124	749	217	366.2125	77.0143	598	217
4.czi	04fec3ef-606f-4dbe-9ec3-2c0e55b88882	Cell			CTX	Polygon	2735.5	5590.9	1639.0344	147.683	0.9444	51.5819	39.7949	0.6415	364.6811	96.9266	636	210	314.4089	59.9352	505	210
4.czi	5f780d2d-2bf6-4b2a-a4de-416028328550	Cell			CTX	Polygon	2966	5596.9	2283.7653	183.2804	0.8543	68.4254	42.8101	0.8015	354.0509	77.2864	626	207	310.4016	49.0663	497	207
4.czi	f38ae28e-09c8-4f70-94c6-5e85d0cfcb49	Cell			CTX	Polygon	2807	5614.4	2518.7375	193.2756	0.8473	71.9691	46.3541	0.784	500.9823	170.8351	1122	213	408.203	100.065	739	213
4.czi	703f1de7-b7a5-44a7-9adc-71fdf645d7c9	Cell			CTX	Polygon	1749.5	5627.9	2059.5111	167.9998	0.917	57.2786	47.5102	0.5399	363.6214	69.1466	657	210	330.889	53.8938	537	210
4.czi	70f287a4-d315-4cbf-bd32-4ac59aee99f9	Cell			CTX	Polygon	1702	5638	1527.7318	142.2638	0.9486	49.3144	41.5195	0.4984	408.1136	95.9453	735	224	362.7277	64.2662	521	224
4.czi	6f880425-e3e8-44b9-9599-80ab79a2abe9	Cell			CTX	Polygon	2258.1	5640.8	1530.2052	142.3888	0.9484	46.9691	42.6774	0.3515	410.9795	104.0013	816	235	362.4914	56.2195	555	235
4.czi	06139d12-d3d0-4e45-be41-75bc49d692eb	Cell			CTX	Polygon	2201.9	5651.1	1764.353	154.3067	0.9312	54.7263	41.2354	0.6126	294.8324	55.3444	515	207	264.9216	25.2496	365	207
4.czi	0b1efb3a-a1fc-4f88-a666-e746eba363c8	Cell			CTX	Polygon	2762.7	5653	1133.638	120.8767	0.975	40.6474	36.4927	0.3951	309.7103	133.7424	1448	214	270.875	29.8406	394	214
4.czi	737008a0-eae5-479a-92fc-d16f6e912f1a	Cell			CTX	Polygon	2572.2	5669	2156.7978	175.9336	0.8756	59.7824	50.4696	0.5091	367.7129	69.5514	710	220	337.7962	48.5116	496	220
4.czi	cd699c59-efb2-45e3-bcd9-f014aa5dbe1f	Cell			CTX	Polygon	2349	5677.8	1841.0281	161.9397	0.8822	58.4247	38.1977	0.7611	394.8329	107.7513	938	213	347.921	67.6963	523	213
4.czi	de07201d-e0d4-4151-90ab-7bf3c8e2ad40	Cell			CTX	Polygon	1970.2	5681.6	1554.1146	144.4683	0.9357	51.233	39.5097	0.6557	346.7172	92.006	855	199	305.9371	42.6704	428	199
