Channel_Raw,Count_Cells,ExecutionTime_01Images,ExecutionTime_02Metadata,ExecutionTime_03NamesAndTypes,ExecutionTime_04Groups,ExecutionTime_05IdentifyPrimaryObjects,ExecutionTime_06MeasureObjectSizeShape,ExecutionTime_07OverlayObjects,ExecutionTime_08RescaleIntensity,ExecutionTime_09SaveImages,FileName_Raw,Frame_Raw,Group_Index,Group_Length,Group_Number,Height_Raw,ImageNumber,ImageSet_ImageSet,MD5Digest_Raw,Metadata_FileLocation,Metadata_Frame,Metadata_Series,ModuleError_01Images,ModuleError_02Metadata,ModuleError_03NamesAndTypes,ModuleError_04Groups,ModuleError_05IdentifyPrimaryObjects,ModuleError_06MeasureObjectSizeShape,ModuleError_07OverlayObjects,ModuleError_08RescaleIntensity,ModuleError_09SaveImages,PathName_Raw,ProcessingStatus,Scaling_Raw,Series_Raw,Threshold_FinalThreshold_Cells,Threshold_OrigThreshold_Cells,Threshold_SumOfEntropies_Cells,Threshold_WeightedVariance_Cells,URL_Raw,Width_Raw
-1,6.0,0.0,0.0,0.0,0.0,0.859375,1.796875,0.046875,0.0625,0.90625,AAV13_7D_MCAO_Ctx.tif,0,11,29,1,1032,11,b'eLur/r1dsxlNZ7ROZ8aIhFZSoVeSmQZOVDBXAwMD5BrM5AdiwJMgJDiADLDxoPTo62oHAAfLiio=',b6d97d50522a446d084061fed7c8d396,file:///E:/Research/Stroke_PDGFRb_AAV/Images/Exp1_S100b_CD31/Images_Pdgfrb/AAV13_7D_MCAO_Ctx.tif,0,0,0,0,0,0,0,0,0,0,0,E:\Research\Stroke_PDGFRb_AAV\Images\Exp1_S100b_CD31\Images_Pdgfrb,Done,255,0,0.04949142336845398,0.06186428,-14.284283566379777,3.9641530606214026,file:///E:/Research/Stroke_PDGFRb_AAV/Images/Exp1_S100b_CD31/Images_Pdgfrb/AAV13_7D_MCAO_Ctx.tif,1032
-1,2.0,0.0,0.0,0.03125,0.0,1.015625,1.578125,0.125,0.046875,0.90625,AAV13_7D_MCAO_HippIpsi.tif,0,12,29,1,1032,12,b'eLur/r1dsxlNZ7ROZ8bwhOaRWVDgWVCcqVeSmQZOWTCnA0ME5CTMNAhiwNMhJEyADLAdoETp62oHAOZtjCE=',b38720e1629bf16a771e2e82fbc02b1d,file:///E:/Research/Stroke_PDGFRb_AAV/Images/Exp1_S100b_CD31/Images_Pdgfrb/AAV13_7D_MCAO_HippIpsi.tif,0,0,0,0,0,0,0,0,0,0,0,E:\Research\Stroke_PDGFRb_AAV\Images\Exp1_S100b_CD31\Images_Pdgfrb,Done,255,0,0.06537377834320068,0.08171722,-14.081067307917138,3.1423378420538013,file:///E:/Research/Stroke_PDGFRb_AAV/Images/Exp1_S100b_CD31/Images_Pdgfrb/AAV13_7D_MCAO_HippIpsi.tif,1032
-1,3.0,0.0,0.0,0.0625,0.0,0.640625,1.484375,0.09375,0.015625,0.84375,AAV13_7D_MCAO_Str.tif,0,13,29,1,1032,13,b'eLur/r1dsxlNZ7ROZ8bwhAY0RK8kMw2cqGCuBgYGyDWYyQ/EgCdBSHAAGWDjQenR19UOAArtijQ=',9379df3e745f19d609c58cc120bc73d9,file:///E:/Research/Stroke_PDGFRb_AAV/Images/Exp1_S100b_CD31/Images_Pdgfrb/AAV13_7D_MCAO_Str.tif,0,0,0,0,0,0,0,0,0,0,0,E:\Research\Stroke_PDGFRb_AAV\Images\Exp1_S100b_CD31\Images_Pdgfrb,Done,255,0,0.03794117569923401,0.04742647,-14.35785593368664,4.2124451696514535,file:///E:/Research/Stroke_PDGFRb_AAV/Images/Exp1_S100b_CD31/Images_Pdgfrb/AAV13_7D_MCAO_Str.tif,1032
-1,7.0,0.0,0.0,0.03125,0.0,0.84375,1.78125,0.125,0.03125,0.671875,AAV14_1D_MCAO_Contra.tif,0,14,29,1,1032,14,b'eLur/r1dsxlNZ7ROZybwNOOcn1dSlKhXkpkGTlcwhwPDA+QgzBQIYsBTISREgAywDaAk6etqBwDA2Itd',768f906ed60287e5b1961091badca47f,file:///E:/Research/Stroke_PDGFRb_AAV/Images/Exp1_S100b_CD31/Images_Pdgfrb/AAV14_1D_MCAO_Contra.tif,0,0,0,0,0,0,0,0,0,0,0,E:\Research\Stroke_PDGFRb_AAV\Images\Exp1_S100b_CD31\Images_Pdgfrb,Done,255,0,0.1609375,0.20117188,-14.110927236353326,4.051298699132236,file:///E:/Research/Stroke_PDGFRb_AAV/Images/Exp1_S100b_CD31/Images_Pdgfrb/AAV14_1D_MCAO_Contra.tif,1032
-1,4.0,0.0,0.0,0.0,0.0,0.84375,1.46875,0.078125,0.0,0.609375,AAV14_1D_MCAO_Ctx.tif,0,15,29,1,1032,15,b'eLur/r1dsxlNZ7ROZybwNONcUqFXkpkGTlQwVwMDA+QazOQHYsCTICQ4gAyw8aD06OtqBwAGGool',03e263f4550d7e30b291955fac187db0,file:///E:/Research/Stroke_PDGFRb_AAV/Images/Exp1_S100b_CD31/Images_Pdgfrb/AAV14_1D_MCAO_Ctx.tif,0,0,0,0,0,0,0,0,0,0,0,E:\Research\Stroke_PDGFRb_AAV\Images\Exp1_S100b_CD31\Images_Pdgfrb,Done,255,0,0.08281250000000001,0.103515625,-14.237611916373451,3.629553189665593,file:///E:/Research/Stroke_PDGFRb_AAV/Images/Exp1_S100b_CD31/Images_Pdgfrb/AAV14_1D_MCAO_Ctx.tif,1032
-1,3.0,0.0,0.0,0.015625,0.0,0.875,1.390625,0.09375,0.03125,1.15625,AAV14_1D_MCAO_Str.tif,0,16,29,1,1032,16,b'eLur/r1dsxlNZ7ROZybwNAM0RK8kMw2cqGCuBgYGyDWYyQ/EgCdBSHAAGWDjQenR19UOAAk8ii8=',82401a7159e6f7ab72ccf754c73262da,file:///E:/Research/Stroke_PDGFRb_AAV/Images/Exp1_S100b_CD31/Images_Pdgfrb/AAV14_1D_MCAO_Str.tif,0,0,0,0,0,0,0,0,0,0,0,E:\Research\Stroke_PDGFRb_AAV\Images\Exp1_S100b_CD31\Images_Pdgfrb,Done,255,0,0.0390625,0.048828125,-14.340268474833268,2.9486868125222836,file:///E:/Research/Stroke_PDGFRb_AAV/Images/Exp1_S100b_CD31/Images_Pdgfrb/AAV14_1D_MCAO_Str.tif,1032
-1,8.0,0.0,0.0,0.0,0.0,0.8125,1.53125,0.09375,0.0,0.734375,AAV15_1D_MCAO_Contra.tif,0,17,29,1,1032,17,b'eLur/r1dsxlNZ7ROZ6bwNOOcn1dSlKhXkpkGTlcwhwPDA+QgzBQIYsBTISREgAywDaAk6etqBwDBNIte',383aaa3f5766d17382eecccc2daffdc1,file:///E:/Research/Stroke_PDGFRb_AAV/Images/Exp1_S100b_CD31/Images_Pdgfrb/AAV15_1D_MCAO_Contra.tif,0,0,0,0,0,0,0,0,0,0,0,E:\Research\Stroke_PDGFRb_AAV\Images\Exp1_S100b_CD31\Images_Pdgfrb,Done,255,0,0.1015625,0.12695312,-14.265349477691625,3.81640449887649,file:///E:/Research/Stroke_PDGFRb_AAV/Images/Exp1_S100b_CD31/Images_Pdgfrb/AAV15_1D_MCAO_Contra.tif,1032
-1,7.0,0.0,0.0,0.015625,0.0,0.640625,1.625,0.109375,0.03125,0.9375,AAV15_1D_MCAO_Ctx.tif,0,18,29,1,1032,18,b'eLur/r1dsxlNZ7ROZ6bwNONcUqFXkpkGTlQwVwMDA+QazOQHYsCTICQ4gAyw8aD06OtqBwAGc4om',5fcf109e6dc64f76945e52eb50ecc4af,file:///E:/Research/Stroke_PDGFRb_AAV/Images/Exp1_S100b_CD31/Images_Pdgfrb/AAV15_1D_MCAO_Ctx.tif,0,0,0,0,0,0,0,0,0,0,0,E:\Research\Stroke_PDGFRb_AAV\Images\Exp1_S100b_CD31\Images_Pdgfrb,Done,255,0,0.04004902243614197,0.050061278,-14.40292020337153,4.124506060297075,file:///E:/Research/Stroke_PDGFRb_AAV/Images/Exp1_S100b_CD31/Images_Pdgfrb/AAV15_1D_MCAO_Ctx.tif,1032
-1,5.0,0.0,0.0,0.015625,0.0,0.71875,1.609375,0.125,0.0625,0.75,AAV15_1D_MCAO_HippIpsi.tif,0,19,29,1,1032,19,b'eLur/r1dsxlNZ7ROZ6bwNOORWVDgWVCcqVeSmQZOWTCnA0ME5CTMNAhiwNMhJEyADLAdoETp62oHAOUBjB0=',8d0b79d7fd4645a2d30e8574f5f18769,file:///E:/Research/Stroke_PDGFRb_AAV/Images/Exp1_S100b_CD31/Images_Pdgfrb/AAV15_1D_MCAO_HippIpsi.tif,0,0,0,0,0,0,0,0,0,0,0,E:\Research\Stroke_PDGFRb_AAV\Images\Exp1_S100b_CD31\Images_Pdgfrb,Done,255,0,0.07968750000000001,0.099609375,-14.095417065659008,3.338279266553991,file:///E:/Research/Stroke_PDGFRb_AAV/Images/Exp1_S100b_CD31/Images_Pdgfrb/AAV15_1D_MCAO_HippIpsi.tif,1032
-1,5.0,0.0,0.0,0.015625,0.0,0.96875,1.859375,0.09375,0.0,0.59375,AAV15_1D_MCAO_Str.tif,0,20,29,1,1032,20,b'eLur/r1dsxlNZ7ROZ6bwNAM0RK8kMw2cqGCuBgYGyDWYyQ/EgCdBSHAAGWDjQenR19UOAAmVijA=',270af53e4d5652f66831fa3299ce2a9d,file:///E:/Research/Stroke_PDGFRb_AAV/Images/Exp1_S100b_CD31/Images_Pdgfrb/AAV15_1D_MCAO_Str.tif,0,0,0,0,0,0,0,0,0,0,0,E:\Research\Stroke_PDGFRb_AAV\Images\Exp1_S100b_CD31\Images_Pdgfrb,Done,255,0,0.0578125,0.072265625,-14.319739549664426,3.2885707620828835,file:///E:/Research/Stroke_PDGFRb_AAV/Images/Exp1_S100b_CD31/Images_Pdgfrb/AAV15_1D_MCAO_Str.tif,1032
-1,4.0,0.0,0.0,0.03125,0.0,0.9375,1.53125,0.125,0.03125,0.34375,AAV16_1D_MCAO_Contra.tif,0,21,29,1,1032,21,b'eLur/r1dsxlNZ7ROZ2bwNOOcn1dSlKhXkpkGTlcwhwPDA+QgzBQIYsBTISREgAywDaAk6etqBwDBkItf',e0be73a7dfa20c81dd71a1777018581f,file:///E:/Research/Stroke_PDGFRb_AAV/Images/Exp1_S100b_CD31/Images_Pdgfrb/AAV16_1D_MCAO_Contra.tif,0,0,0,0,0,0,0,0,0,0,0,E:\Research\Stroke_PDGFRb_AAV\Images\Exp1_S100b_CD31\Images_Pdgfrb,Done,255,0,0.1265625,0.15820312,-14.107496098089067,3.5635966933315872,file:///E:/Research/Stroke_PDGFRb_AAV/Images/Exp1_S100b_CD31/Images_Pdgfrb/AAV16_1D_MCAO_Contra.tif,1032
-1,5.0,0.0,0.0,0.0,0.0,1.03125,1.484375,0.15625,0.0,0.453125,AAV16_1D_MCAO_Ctx.tif,0,22,29,1,1032,22,b'eLur/r1dsxlNZ7ROZ2bwNONcUqFXkpkGTlQwVwMDA+QazOQHYsCTICQ4gAyw8aD06OtqBwAGzIon',d6877e15c22b5ec2bf39b16338a2cbe9,file:///E:/Research/Stroke_PDGFRb_AAV/Images/Exp1_S100b_CD31/Images_Pdgfrb/AAV16_1D_MCAO_Ctx.tif,0,0,0,0,0,0,0,0,0,0,0,E:\Research\Stroke_PDGFRb_AAV\Images\Exp1_S100b_CD31\Images_Pdgfrb,Done,255,0,0.06566176414489747,0.082077205,-14.290608158675987,3.748962237287489,file:///E:/Research/Stroke_PDGFRb_AAV/Images/Exp1_S100b_CD31/Images_Pdgfrb/AAV16_1D_MCAO_Ctx.tif,1032
-1,1.0,0.0,0.0,0.046875,0.0,0.78125,1.296875,0.125,0.0,1.015625,AAV16_1D_MCAO_Str.tif,0,23,29,1,1032,23,b'eLur/r1dsxlNZ7ROZ2bwNAM0RK8kMw2cqGCuBgYGyDWYyQ/EgCdBSHAAGWDjQenR19UOAAnuijE=',8834d1af4d7700817f835f3dee8738cb,file:///E:/Research/Stroke_PDGFRb_AAV/Images/Exp1_S100b_CD31/Images_Pdgfrb/AAV16_1D_MCAO_Str.tif,0,0,0,0,0,0,0,0,0,0,0,E:\Research\Stroke_PDGFRb_AAV\Images\Exp1_S100b_CD31\Images_Pdgfrb,Done,255,0,0.03393382430076599,0.04241728,-14.290676327149157,4.571580116955551,file:///E:/Research/Stroke_PDGFRb_AAV/Images/Exp1_S100b_CD31/Images_Pdgfrb/AAV16_1D_MCAO_Str.tif,1032
-1,9.0,0.0,0.0,0.046875,0.0,0.84375,1.453125,0.078125,0.03125,0.5625,AAV17_1D_MCAO_Contra.tif,0,24,29,1,1032,24,b'eLur/r1dsxlNZ7ROZ+bwNOOcn1dSlKhXkpkGTlcwhwPDA+QgzBQIYsBTISREgAywDaAk6etqBwDB7Itg',ffb51481409e20288d0823f9db2368cd,file:///E:/Research/Stroke_PDGFRb_AAV/Images/Exp1_S100b_CD31/Images_Pdgfrb/AAV17_1D_MCAO_Contra.tif,0,0,0,0,0,0,0,0,0,0,0,E:\Research\Stroke_PDGFRb_AAV\Images\Exp1_S100b_CD31\Images_Pdgfrb,Done,255,0,0.1609375,0.20117188,-14.136033817742081,4.140956416257793,file:///E:/Research/Stroke_PDGFRb_AAV/Images/Exp1_S100b_CD31/Images_Pdgfrb/AAV17_1D_MCAO_Contra.tif,1032
-1,2.0,0.0,0.0,0.03125,0.0,0.765625,1.40625,0.09375,0.03125,0.984375,AAV17_1D_MCAO_HippIpsi.tif,0,25,29,1,1032,25,b'eLur/r1dsxlNZ7ROZ+bwNOORWVDgWVCcqVeSmQZOWTCnA0ME5CTMNAhiwNMhJEyADLAdoETp62oHAOW9jB8=',6c89f22ba0930311c96471e3ced0cc17,file:///E:/Research/Stroke_PDGFRb_AAV/Images/Exp1_S100b_CD31/Images_Pdgfrb/AAV17_1D_MCAO_HippIpsi.tif,0,0,0,0,0,0,0,0,0,0,0,E:\Research\Stroke_PDGFRb_AAV\Images\Exp1_S100b_CD31\Images_Pdgfrb,Done,255,0,0.08281250000000001,0.103515625,-14.241880344186196,3.526470642391816,file:///E:/Research/Stroke_PDGFRb_AAV/Images/Exp1_S100b_CD31/Images_Pdgfrb/AAV17_1D_MCAO_HippIpsi.tif,1032
-1,9.0,0.0,0.0,0.0,0.0,0.71875,1.40625,0.125,0.0625,0.703125,AAV18_1D_MCAO_Contra.tif,0,26,29,1,1032,26,b'eLur/r1dsxlNZ7ROZxbwNOOcn1dSlKhXkpkGTlcwhwPDA+QgzBQIYsBTISREgAywDaAk6etqBwDCSIth',217ea6054ef1b3e3dcc57ce8dc1c7ee4,file:///E:/Research/Stroke_PDGFRb_AAV/Images/Exp1_S100b_CD31/Images_Pdgfrb/AAV18_1D_MCAO_Contra.tif,0,0,0,0,0,0,0,0,0,0,0,E:\Research\Stroke_PDGFRb_AAV\Images\Exp1_S100b_CD31\Images_Pdgfrb,Done,255,0,0.10116420984268189,0.12645526,-14.17181770862367,3.528276864395596,file:///E:/Research/Stroke_PDGFRb_AAV/Images/Exp1_S100b_CD31/Images_Pdgfrb/AAV18_1D_MCAO_Contra.tif,1032
-1,3.0,0.0,0.0,0.03125,0.0,0.734375,1.453125,0.09375,0.03125,0.953125,AAV18_1D_MCAO_Ctx.tif,0,27,29,1,1032,27,b'eLur/r1dsxlNZ7ROZxbwNONcUqFXkpkGTlQwVwMDA+QazOQHYsCTICQ4gAyw8aD06OtqBwAHfoop',5a1d08a9eb7fd5477599ae6080c7ba33,file:///E:/Research/Stroke_PDGFRb_AAV/Images/Exp1_S100b_CD31/Images_Pdgfrb/AAV18_1D_MCAO_Ctx.tif,0,0,0,0,0,0,0,0,0,0,0,E:\Research\Stroke_PDGFRb_AAV\Images\Exp1_S100b_CD31\Images_Pdgfrb,Done,255,0,0.0765625,0.095703125,-14.381811298704015,3.5448423336485506,file:///E:/Research/Stroke_PDGFRb_AAV/Images/Exp1_S100b_CD31/Images_Pdgfrb/AAV18_1D_MCAO_Ctx.tif,1032
-1,2.0,0.0,0.0,0.0625,0.0,0.75,1.5,0.078125,0.0,0.953125,AAV18_1D_MCAO_HippIpsi.tif,0,28,29,1,1032,28,b'eLur/r1dsxlNZ7ROZxbwNOORWVDgWVCcqVeSmQZOWTCnA0ME5CTMNAhiwNMhJEyADLAdoETp62oHAOYbjCA=',8af4e3c5420b1f39b07d70fd10954ffe,file:///E:/Research/Stroke_PDGFRb_AAV/Images/Exp1_S100b_CD31/Images_Pdgfrb/AAV18_1D_MCAO_HippIpsi.tif,0,0,0,0,0,0,0,0,0,0,0,E:\Research\Stroke_PDGFRb_AAV\Images\Exp1_S100b_CD31\Images_Pdgfrb,Done,255,0,0.046875,0.05859375,-14.490650130721093,4.569679108821001,file:///E:/Research/Stroke_PDGFRb_AAV/Images/Exp1_S100b_CD31/Images_Pdgfrb/AAV18_1D_MCAO_HippIpsi.tif,1032
-1,3.0,0.0,0.0,0.0,0.0,0.703125,1.390625,0.09375,0.03125,1.0,AAV18_1D_MCAO_Str.tif,0,29,29,1,1032,29,b'eLur/r1dsxlNZ7ROZxbwNAM0RK8kMw2cqGCuBgYGyDWYyQ/EgCdBSHAAGWDjQenR19UOAAqgijM=',b0f5821bec1566d54c01f9ffa5b04a48,file:///E:/Research/Stroke_PDGFRb_AAV/Images/Exp1_S100b_CD31/Images_Pdgfrb/AAV18_1D_MCAO_Str.tif,0,0,0,0,0,0,0,0,0,0,0,E:\Research\Stroke_PDGFRb_AAV\Images\Exp1_S100b_CD31\Images_Pdgfrb,Done,255,0,0.036660540103912356,0.045825675,-14.38492243670313,3.6288040065958262,file:///E:/Research/Stroke_PDGFRb_AAV/Images/Exp1_S100b_CD31/Images_Pdgfrb/AAV18_1D_MCAO_Str.tif,1032
