"","Brain_id","Section","Region","Num_Cells","Region_Area","Density"
"156","5421_Annotations.tsv","8.czi","CNU",165,2.8257869,58.39081496202
"157","5421_Annotations.tsv","8.czi","CTX",1133,11.4975619,98.5426310251045
"158","5421_Annotations.tsv","8.czi","HPF",236,1.9451369,121.328221165307
"159","5421_Annotations.tsv","9.czi","HPF",91,1.1521201,78.9848211137016
"160","5421_Annotations.tsv","9.czi","CNU",192,3.6357547,52.8088432368663
"161","5421_Annotations.tsv","9.czi","CTX",825,10.1955145,80.9179370006291
"162","5421_Annotations.tsv","9.czi","TH",64,3.4041822,18.8004038091733
"163","5421_Annotations.tsv","9.czi","HY",28,1.9957464,14.0298386608639
"164","5421_Annotations.tsv","10.czi","HPF",172,2.2437055,76.6589019815658
"165","5421_Annotations.tsv","10.czi","TH",66,4.3194922,15.2795738350911
"166","5421_Annotations.tsv","10.czi","HY",43,2.1890363,19.6433471660566
"167","5421_Annotations.tsv","10.czi","CNU",91,2.197631,41.4082254937248
"168","5421_Annotations.tsv","10.czi","CTX",923,11.3964134,80.9903929950453
"169","5421_Annotations.tsv","11.czi","HPF",227,2.9940886,75.8160596850741
"170","5421_Annotations.tsv","11.czi","TH",104,4.0651334,25.5834162785408
"171","5421_Annotations.tsv","11.czi","HY",60,2.5161887,23.8455883694255
"172","5421_Annotations.tsv","11.czi","CNU",49,1.2278573,39.9069175220932
"173","5421_Annotations.tsv","11.czi","CTX",966,12.3635888,78.1326535220906
"174","5421_Annotations.tsv","11.czi","MB",3,0.1965138,15.2661034492234
"175","5421_Annotations.tsv","12.czi","TH",56,4.0643339,13.7783955201122
"176","5421_Annotations.tsv","12.czi","HY",44,2.1165557,20.7884914155578
"177","5421_Annotations.tsv","12.czi","CNU",56,1.6661709,33.609997629895
"178","5421_Annotations.tsv","12.czi","CTX",937,11.4062706,82.1477968443077
"179","5421_Annotations.tsv","12.czi","HPF",191,2.5641011,74.4900425338143
"180","5422_Annotations.tsv","1.czi","HPF",0,0.0357017,0
"181","5422_Annotations.tsv","1.czi","CNU",113,7.4746443,15.1177762398674
"182","5422_Annotations.tsv","1.czi","CTX",286,8.3994189,34.0499745762174
"183","5422_Annotations.tsv","2.czi","HY",0,0.245253,0
"184","5422_Annotations.tsv","2.czi","HPF",0,0.0265652,0
"185","5422_Annotations.tsv","2.czi","CNU",99,8.3643024,11.8360139633402
"186","5422_Annotations.tsv","2.czi","CTX",338,8.3762815,40.3520344916775
"187","5422_Annotations.tsv","3.czi","HPF",0,0.0818271,0
"188","5422_Annotations.tsv","3.czi","CNU",81,6.3897891,12.6764747212079
"189","5422_Annotations.tsv","3.czi","CTX",275,8.6040086,31.9618462492006
"190","5422_Annotations.tsv","4.czi","HPF",0,0.0335913,0
"191","5422_Annotations.tsv","4.czi","CNU",73,8.7273561,8.36450342618654
"192","5422_Annotations.tsv","4.czi","CTX",319,8.9144241,35.7847008871835
"193","5422_Annotations.tsv","4.czi","HY",0,0.0182244,0
"194","5422_Annotations.tsv","5.czi","CNU",126,10.1382639,12.4281633663136
"195","5422_Annotations.tsv","5.czi","CTX",338,9.3947359,35.9775946442518
"196","5422_Annotations.tsv","5.czi","HY",3,0.8811196,3.40475912691081
"197","5422_Annotations.tsv","5.czi","HPF",0,0.0289178,0
"198","5422_Annotations.tsv","6.czi","TH",2,0.8872419,2.2541766794377
"199","5422_Annotations.tsv","6.czi","HY",4,2.0475766,1.95352886920079
"200","5422_Annotations.tsv","6.czi","CNU",105,8.3680619,12.547708328974
"201","5422_Annotations.tsv","6.czi","CTX",336,11.8596135,28.3314460458598
"202","5422_Annotations.tsv","6.czi","HPF",0,0.0189833,0
"203","5422_Annotations.tsv","7.czi","TH",18,4.758826,3.78244550231507
"204","5422_Annotations.tsv","7.czi","HY",6,2.3813315,2.51959880428239
"205","5422_Annotations.tsv","7.czi","CNU",22,2.3612112,9.31725209502648
"206","5422_Annotations.tsv","7.czi","CTX",260,12.5114571,20.780952843614
"207","5422_Annotations.tsv","7.czi","HPF",18,2.4593963,7.31886926885269
"208","5422_Annotations.tsv","8.czi","HPF",14,2.2151912,6.31999621522512
"209","5422_Annotations.tsv","8.czi","TH",12,4.7812702,2.50979331810196
"210","5422_Annotations.tsv","8.czi","HY",7,2.2249694,3.14611068358963
"211","5422_Annotations.tsv","8.czi","CNU",29,3.1370635,9.24431398981882
"212","5422_Annotations.tsv","8.czi","CTX",272,12.6783933,21.4538225439023
"213","5422_Annotations.tsv","9.czi","TH",1,2.0943968,0.477464442268055
"214","5422_Annotations.tsv","9.czi","HY",6,2.2554185,2.66026016901076
"215","5422_Annotations.tsv","9.czi","HPF",0,0.0147452,0
"216","5422_Annotations.tsv","9.czi","CNU",77,5.9715179,12.8945439483653
"217","5422_Annotations.tsv","9.czi","CTX",386,11.1029363,34.7655781831334
"218","5422_Annotations.tsv","10.czi","CNU",56,4.3552459,12.8580569928325
"219","5422_Annotations.tsv","10.czi","CTX",392,12.1766459,32.1927732168018
"220","5422_Annotations.tsv","10.czi","TH",29,4.2902531,6.75950796469327
"221","5422_Annotations.tsv","10.czi","HY",6,2.373107,2.52833100235261
"222","5422_Annotations.tsv","10.czi","HPF",34,1.412839,24.0650208551717
"223","5422_Annotations.tsv","11.czi","CNU",36,3.7566868,9.58291226194316
"224","5422_Annotations.tsv","11.czi","CTX",373,12.3288559,30.2542265904819
"225","5422_Annotations.tsv","11.czi","HPF",29,1.8583769,15.6050153227798
"226","5422_Annotations.tsv","11.czi","TH",15,4.3545099,3.44470453494663
"227","5422_Annotations.tsv","11.czi","HY",7,2.1721598,3.22259900031296
"228","5422_Annotations.tsv","12.czi","HPF",42,2.9014839,14.4753517329529
"229","5422_Annotations.tsv","12.czi","TH",25,5.0797808,4.92147220210762
"230","5422_Annotations.tsv","12.czi","HY",5,2.6472905,1.88872358360369
"231","5422_Annotations.tsv","12.czi","CNU",17,2.2242895,7.64289001049549
"232","5422_Annotations.tsv","12.czi","CTX",276,13.520239,20.4138403174678
"233","5422_Annotations.tsv","13.czi","CTX",228,16.699384,13.6531982257549
"234","5422_Annotations.tsv","13.czi","MB",49,6.8193474,7.18543830161813
"235","5422_Annotations.tsv","13.czi","HPF",52,8.2990024,6.26581334643306
"236","5422_Annotations.tsv","13.czi","TH",7,0.8278625,8.45551042594634
"237","5422_Annotations.tsv","14.czi","CTX",200,14.7195582,13.5873643272799
"238","5422_Annotations.tsv","14.czi","MB",28,8.0994366,3.4570305791393
"239","5422_Annotations.tsv","14.czi","TH",1,0.1614948,6.19214984011869
"240","5422_Annotations.tsv","14.czi","HPF",76,8.578719,8.85913153234183
"241","5422_Annotations.tsv","15.czi","CNU",4,1.7966976,2.22630675301175
"242","5422_Annotations.tsv","15.czi","CTX",248,11.9435894,20.7642771108659
"243","5422_Annotations.tsv","15.czi","TH",16,4.1885252,3.81996030488249
"244","5422_Annotations.tsv","15.czi","HY",13,2.2384441,5.80760538089828
"245","5422_Annotations.tsv","15.czi","HPF",32,2.6860409,11.9134448027206
